id,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
3952,80.0,7.734660000000001,10.0,4.75,20.255278375,11.1479375,2.705,1.765,0.91,0.49463625,0.86724
4597,239.0,17.2474855,11.2413793103448,4.965517241379311,24.428765853658533,11.966772068965518,2.799655172413793,1.6631034482758622,0.8613793103448275,0.4968089655172414,1.86481
9621,152.0,13.477328,28.5,5.5,68.16233625,11.6104,2.8487500000000003,1.725,0.94625,0.468765,0.51227
8620,232.0,17.053984,11.3,4.8,22.521871850000004,11.17714,2.66,1.794,0.9250000000000002,0.491678,0.59761
4294,46.0,9.143996,23.0,4.0,48.7195,10.297964,2.298,1.794,1.380000000000002,0.476196,4.01089
3912,72.0,20.415992000000006,22.0,6.0,49.224449375000006,11.2603,2.81,1.7,1.04,0.4776649999999999,2.13111
4582,86.0,13.611328000000002,31.66666666666667,5.666666666666668,70.92449475,9.512,2.4133333333333336,1.768333333333333,1.0266666666666666,0.4488266666666667,1.86481
5657,38.0,4.9043280000000005,10.0,4.833333333333333,20.02735333333333,11.795966666666668,2.8480000000000003,1.7266666666666668,0.8916666666666666,0.4966916666666667,0.83736
2340,200.0,17.641328,10.0,4.44,20.6125257,11.533816666666668,2.901666666666667,1.6488,0.8216,0.4927359999999999,1.00104
1702,100.0,14.091992,50.0,4.0,117.386335,12.0034,2.295,2.045,1.36,0.437,1.9156
3319,20.0,1.7,10.0,4.0,20.0468,10.63215,2.375,1.625,1.02,0.496875,1.027
6464,146.0,13.351332,48.66666666666666,4.0,114.44546666666668,8.054,1.9866666666666664,2.0933333333333333,1.3633333333333333,0.42632,3.17705
6711,120.0,13.747992000000002,12.0,4.8,24.789618,11.17714,2.752,1.682,0.908,0.491604,1.68467
9563,180.0,14.7341515,9.0,4.8,18.01515585,11.759620000000002,2.825,1.626,0.768,0.5471010000000001,0.51039
518,70.0,7.251328,10.5,4.0,20.255278375,11.26033125,2.79,1.60125,0.89875,0.4931925,0.77525
1730,92.0,8.885992,9.2,4.8,18.439538,12.04083,2.708,1.648,0.86,0.475954,0.62985
318,64.0,10.502995,32.6,4.8,72.2365,11.38168,2.352,1.91,0.964,0.4743239999999999,5.80644
6888,58.0,9.133,12.6,4.28,24.808518,10.600980000000002,2.53,1.7420000000000002,0.86,0.4697149999999999,1.42823
10264,128.0,10.507072,12.2,4.8,26.2038268,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498666,1.00843
4031,116.0,11.573996000000005,12.8,4.8,26.385218,11.28095,2.81,1.7400000000000002,0.86,0.49282,1.182
9374,90.0,11.351332,45.0,5.0,111.599515,10.5174,2.62,1.77,1.045,0.475566,3.56717
5157,144.0,10.082327,24.0,4.333333333333333,53.05033333333333,11.33044,2.248333333333333,1.8133333333333328,0.9016666666666668,0.47783,4.28689
1576,50.0,3.253996,10.0,4.8,20.016938,11.909720000000002,2.884,1.662,0.792,0.490932,0.75796
5527,108.0,12.397992,10.8,4.6,21.9893120372,11.17714,2.7060000000000004,1.9,0.974,0.4927359999999999,1.07443
4842,134.0,13.053996,22.0,4.0,49.224449375000006,9.300975,2.24,1.8,1.1275,0.4756775,2.015
35,46.0,7.134331999999999,11.6,4.8,23.231818,11.11696,2.7960000000000003,1.7020000000000004,0.86,0.4927359999999999,1.95335
4681,100.0,8.332664000000001,10.0,5.333333333333333,20.185395713333328,11.533816666666668,2.793333333333333,1.7133333333333336,0.89,0.4844733333333333,0.84233
39,144.0,15.55,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.775
3463,136.0,9.014328,6.333333333333332,4.416666666666667,12.556663768888884,10.296858333333333,2.575833333333333,1.841666666666667,1.16,0.49906,0.69605
4818,30.0,2.3326640000000003,10.0,5.333333333333333,20.185395713333328,11.824266666666665,2.89,1.625,0.8933333333333332,0.49968,0.75816
673,240.0,44.191,34.285714285714285,5.428571428571429,77.36308571428572,9.093814285714286,2.225714285714285,1.97,1.2285714285714289,0.4494728571428572,6.16352
932,79.0,15.200000000000005,39.5,5.6,90.2267,8.31996,2.0200000000000005,2.064,1.4220000000000002,0.40338,7.715
8525,122.0,14.485992,12.2,4.8,24.789618,11.11696,2.752,1.754,0.912,0.47907,1.4092
2412,92.0,8.147992,9.2,4.8,18.439538,11.43734,2.805,1.656,0.946,0.4907199999999999,0.8315
668,311.0,14.091992,31.1,6.0,74.71870600000003,11.1994,2.757,1.7420000000000002,0.9559999999999998,0.4660609999999999,3.492
9399,146.0,23.1,48.66666666666666,4.0,114.44546666666668,8.054,1.903333333333333,2.0933333333333333,1.3633333333333333,0.4568033333333333,6.64
1623,58.0,4.9568275,9.2,5.6,19.39735333333334,11.38168,2.8480000000000003,1.592,0.8640000000000001,0.4927189999999999,0.78394
9483,33.0,7.441332000000001,14.5,4.0,32.38773899975,10.52605,2.225,1.785,0.965,0.485063,1.05605
1683,50.0,4.073996,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.8315
